MARKS 唛头,SHOP#,ITEM NO.,DESCRIPTION OF GOODS,,,PACKING,T.CTN,T.QTY,H,W,L,UNIT CBM,T.CBM,UNIT WEIGHT,T.WEIGHT,U.PRICE (RMB),T.AMOUNT,BOX .NO,REMMARK
MS-303-17 SANCARGO,俊达,17,,Ice maker,ice maker 60kg,,2CTNS,2pcs,70,57,90,0.359CBM,0.718CBM,45.0KGS,90.0KGS,"¥2,250.00","¥4,500.00",,
MS-303-18 SANCARGO,俊达,18,,Slush machine,slush machine,,1CTNS,1pcs,56,47,89,0.234CBM,0.234CBM,56.0KGS,56.0KGS,"¥4,450.00","¥4,450.00",,
MS-303-19 SANCARGO,俊达,19,,Oil press,"50/KG
Oli press",,2CTNS,2pcs,94,90,112,0.948CBM,1.895CBM,145.0KGS,290.0KGS,"¥9,000.00","¥18,000.00",,
MS-304-1 SANCARGO,奥丝玫瑰张圳锋,1,,Shapewear,21188,,1CTNS,300pcs,115,110,46,0.582CBM,0.582CBM,67.0KGS,67.0KGS,¥27.00,"¥8,100.00",,
MS-304-2 SANCARGO,奥丝玫瑰张圳锋,2,,Shapewear,5058,,1CTNS,360pcs,100,82,45,0.369CBM,0.369CBM,45.0KGS,45.0KGS,¥20.50,"¥7,380.00",,
MS-305-1 SANCARGO,远航户外,1,,Plastic chairs,YH-L615黑10灰10,4pcs/ctn,20CTNS,80pcs,64,55,66,0.232CBM,4.646CBM,24.0KGS,480.0KGS,¥77.00,"¥6,160.00",,
MS-305-2 SANCARGO,远航户外,2,,Plastic chairs,YH-8035绿5米白5,4pcs/ctn,8CTNS,32pcs,68,58,53,0.209CBM,1.672CBM,18.0KGS,144.0KGS,¥105.00,"¥3,360.00",,
MS-306-1 SANCARGO,华雅泰,1,,Bralette,2193-,,1CTNS,240pcs,77,35,55,0.148CBM,0.148CBM,17.6KGS,17.6KGS,¥6.50,"¥1,560.00",162-163,
MS-306-2 SANCARGO,华雅泰,2,,Bralette,838-,,1CTNS,400pcs,73,42,78,0.239CBM,0.239CBM,42.0KGS,42.0KGS,¥8.90,"¥3,560.00",,
MS-307-1 SANCARGO,伟明文胸,1,,Bra,092*,,1CTNS,360pcs,72,35,55,0.139CBM,0.139CBM,27.0KGS,27.0KGS,￥18.00,"￥6,480.00",,
MS-307-2 SANCARGO,伟明文胸,2,,Bra,139*,,1CTNS,360pcs,35,63,63,0.139CBM,0.139CBM,31.2KGS,31.2KGS,￥22.50,"￥8,100.00",,
MS-307-3 SANCARGO,伟明文胸,3,,Bra,126*,,1CTNS,360pcs,80,60,75,0.360CBM,0.360CBM,53.0KGS,53.0KGS,￥20.50,"￥7,380.00",,
MARKS 唛头,SHOP#,ITEM NO.,DESCRIPTION OF GOODS,,,PACKING,T.CTN,T.QTY,H,W,L,UNIT CBM,T.CBM,UNIT WEIGHT,T.WEIGHT,U.PRICE (RMB),T.AMOUNT,BOX .NO,REMMARK
MS-307-4 SANCARGO,伟明文胸,4,,Bra,386*,,1CTNS,420pcs,67,75,53,0.266CBM,0.266CBM,51.0KGS,51.0KGS,￥37.00,"￥15,540.00",164-169,
MS-307-5 SANCARGO,伟明文胸,5,,Bra,383*,,1CTNS,480pcs,67,75,53,0.266CBM,0.266CBM,51.0KGS,51.0KGS,￥37.00,"￥17,760.00",,
MS-307-5 SANCARGO,伟明文胸,5,,Bra,383*,,1CTNS,420pcs,35,63,63,0.139CBM,0.139CBM,30.0KGS,30.0KGS,￥37.00,"￥15,540.00",,
MS-308-1 SANCARGO,柔妃49348,1,,Sleepwear,25612*,,1CTNS,144pcs,80,70,40,0.224CBM,0.224CBM,59.0KGS,59.0KGS,¥22.00,"¥3,168.00",1/13/2026,
,,,,,,,1CTNS,156pcs,85,70,40,0.238CBM,0.238CBM,64.0KGS,64.0KGS,¥22.00,"¥3,432.00",,
MS-308-2 SANCARGO,柔妃49348,2,,Sleepwear,25608*,,1CTNS,240pcs,85,80,30,0.204CBM,0.204CBM,56.0KGS,56.0KGS,¥13.00,"¥3,120.00",,
MS-308-3 SANCARGO,柔妃49348,3,,Sleepwear,25364蝴蝶,,1CTNS,180pcs,70,60,30,0.126CBM,0.126CBM,31.0KGS,31.0KGS,¥12.00,"¥2,160.00",,
MS-308-4 SANCARGO,柔妃49348,4,,Sleepwear,25904*,,1CTNS,180pcs,80,70,30,0.168CBM,0.168CBM,36.0KGS,36.0KGS,¥11.00,"¥1,980.00",,
MS-308-5 SANCARGO,柔妃49348,5,,Sleepwear,25335,,1CTNS,240pcs,80,65,30,0.156CBM,0.156CBM,40.0KGS,40.0KGS,¥12.00,"¥2,880.00",,
MS-308-6 SANCARGO,柔妃49348,6,,Sleepwear,25322*,,1CTNS,240pcs,85,80,30,0.204CBM,0.204CBM,51.0KGS,51.0KGS,¥10.00,"¥2,400.00",,
MS-308-7 SANCARGO,柔妃49348,7,,Sleepwear,25702*,,1CTNS,180pcs,70,65,30,0.137CBM,0.137CBM,32.0KGS,32.0KGS,¥15.00,"¥2,700.00",,
MS-308-8 SANCARGO,柔妃49348,8,,Sleepwear,961*,,1CTNS,180pcs,80,70,30,0.168CBM,0.168CBM,35.0KGS,35.0KGS,¥21.00,"¥3,780.00",,
MS-308-9 SANCARGO,柔妃49348,9,,Sleepwear,WT008*,,1CTNS,180pcs,85,80,30,0.204CBM,0.204CBM,43.0KGS,43.0KGS,¥23.00,"¥4,140.00",,
MS-308-10 SANCARGO,柔妃49348,10,,Sleepwear,H416*,,1CTNS,240pcs,85,75,35,0.223CBM,0.223CBM,62.0KGS,62.0KGS,¥26.00,"¥6,240.00",,
MS-308-11 SANCARGO,柔妃49348,11,,Sleepwear,仿真丝双短,,1CTNS,180pcs,75,55,35,0.144CBM,0.144CBM,34.0KGS,34.0KGS,¥23.00,"¥4,140.00",,
MS-308-12 SANCARGO,柔妃49348,12,,Sleepwear,仿真丝长短,,1CTNS,180pcs,75,60,35,0.158CBM,0.158CBM,46.0KGS,46.0KGS,¥25.00,"¥4,500.00",,
MS-309-1 SANCARGO,49371天丽,1,,Sleepwear,小熊开扣绒料3个色,80pcs/ctn,0CTNS,0pcs,82,62,53,0.269CBM,0.000CBM,50.0KGS,0.0KGS,¥26.50,¥0.00,,this item 3 ctn has been stuffed into MAG-5
MS-309-2 SANCARGO,49371天丽,2,,Sleepwear,圆领套装,120pcs/ctn,2CTNS,240pcs,63,110,90,0.624CBM,1.247CBM,48.5KGS,97.0KGS,¥23.50,"¥5,640.00",,
MS-309-3 SANCARGO,49371天丽,3,,Sleepwear,儿童套装,240pcs/ctn,0CTNS,0pcs,57,50,75,0.214CBM,0.000CBM,55.5KGS,0.0KGS,¥15.80,¥0.00,,this item 1 ctn has been stuffed into MAG-5
MS-309-4 SANCARGO,49371天丽,4,,Sleepwear,冬季带帽睡衣 4个色,90pcs/ctn,0CTNS,0pcs,145,44,137,0.874CBM,0.000CBM,83.5KGS,0.0KGS,¥49.00,¥0.00,,this item 2 ctn has been stuffed into MAG-5
MS-310-1 SANCARGO,光伟针织,1,,Bra,,,0CTNS,600pcs,,,,0.000CBM,0.000CBM,,0.0KGS,¥14.00,"¥8,400.00",,
MS-311-1 SANCARGO,洪秀福,1,,Sleepwear,D3366,,1CTNS,120pcs,64,30,50,0.096CBM,0.096CBM,19.0KGS,19.0KGS,¥19.00,"¥2,280.00",,
MS-311-2 SANCARGO,洪秀福,2,,Sleepwear,H5126,,1CTNS,120pcs,65,25,60,0.098CBM,0.098CBM,19.0KGS,19.0KGS,¥15.00,"¥1,800.00",,
MARKS 唛头,SHOP#,ITEM NO.,DESCRIPTION OF GOODS,,,PACKING,T.CTN,T.QTY,H,W,L,UNIT CBM,T.CBM,UNIT WEIGHT,T.WEIGHT,U.PRICE (RMB),T.AMOUNT,BOX .NO,REMMARK
MS-311-3 SANCARGO,洪秀福,3,,Sleepwear,A058,,1CTNS,90pcs,57,50,45,0.128CBM,0.128CBM,33.5KGS,33.5KGS,¥16.50,"¥1,485.00",,
MS-311-3 SANCARGO,洪秀福,3,,Sleepwear,A058,,1CTNS,90pcs,57,50,45,0.128CBM,0.128CBM,33.5KGS,33.5KGS,¥16.50,"¥1,485.00",,
MS-311-4 SANCARGO,洪秀福,4,,Sleepwear,A054,,1CTNS,60pcs,55,18,35,0.035CBM,0.035CBM,9.0KGS,9.0KGS,¥17.50,"¥1,050.00",,
MS-311-5 SANCARGO,洪秀福,5,,Sleepwear,A053,,1CTNS,60pcs,58,20,30,0.035CBM,0.035CBM,11.7KGS,11.7KGS,¥15.00,¥900.00,,
MS-311-6 SANCARGO,洪秀福,6,,Sleepwear,D2225,,1CTNS,60pcs,41,28,53,0.061CBM,0.061CBM,11.7KGS,11.7KGS,¥27.00,"¥1,620.00",,
MS-311-7 SANCARGO,洪秀福,7,,Sleepwear,J0544,,1CTNS,180pcs,65,28,57,0.104CBM,0.104CBM,26.4KGS,26.4KGS,¥9.00,"¥1,620.00",,
MS-311-8 SANCARGO,洪秀福,8,,Sleepwear,A030,,1CTNS,180pcs,75,30,70,0.158CBM,0.158CBM,42.0KGS,42.0KGS,¥13.50,"¥2,430.00",,
MS-311-9 SANCARGO,洪秀福,9+20,,Sleepwear,I1051&I2022,item9 & item20,1CTNS,120pcs,62,28,55,0.095CBM,0.095CBM,18.6KGS,18.6KGS,,"¥1,950.00",,
MS-311-10 SANCARGO,洪秀福,10,,Sleepwear,D3421,,1CTNS,120pcs,80,28,57,0.128CBM,0.128CBM,23.4KGS,23.4KGS,¥16.00,"¥1,920.00",,
MS-311-11 SANCARGO,洪秀福,11,,Sleepwear,H5111,,1CTNS,180pcs,62,28,52,0.090CBM,0.090CBM,20.5KGS,20.5KGS,¥13.50,"¥2,430.00",,
