NO：C25-6083,,,,义乌市佰世威厨具有限公司销售单,,,,,,,,,,,,,,,,,,
客户：C707-CG,,,,,,,,,,,,,销售日期：2026-03-15,,,,,,,,,
备用电话：,,,,,,,,,,,,,送货日期：,,,,,,,,,
送货地址：,,,,,,,,,,,,,,,,,,,,,,
"NO.
序号","DATE
订单日期","ORD NO.
销售单号","CUS NO.
客户货号","ITEM NO.
产品货号","PHOTO
图片1","PHOTO2
图片1","DES.
描述","CTN
总箱数","QTY
每箱数量","T.QTY
总数量","U/P
单价","AMOUNT
金额","L
长","W
宽","H
高","CBM
体积","G.W.
重量","T.T.CBM
总体积","T.T.KGS
总重量","CODE
条形码","REK
备注","W.H.
仓位"
40,2026-03-15,C25- 6083,,KP004,,,"2.2L Baking Pan 34.4*20.2*5.1cm
color
card,1260g",10,12,120,12.8,1536,42,36,34.5,0.05,16.4,0.52,164,6920220314043,,东阳仓
41,2026-03-15,C25- 6083,,KP006,,,"3L  Baking Pan 39.3*23.6*5.2cm
color
card,1670g",10,12,120,19.8,2376,49,40,37,0.07,17.8,0.73,178,6920220314067,,浦江仓
42,2026-03-15,C25- 6083,,KP009,,,"3L Baking Pan 35*24.2*6.5cm color
card,1360g",10,12,120,13,1560,50,35.5,43.5,0.08,17.6,0.77,176,6920220314098,,浦江仓
43,2026-03-15,C25- 6083,,KP008,,,"2.4L Baking Pan 30.3*21.3*6.5cm
color card,
1090g ,unit:Pcs",10,12,120,10.5,1260,43,32,42.5,0.06,7,0.58,70,6920220314081,,东阳仓
44,2026-03-15,C25- 6083,,KP007,,,"1.6L Baking Pan 25.8*17.9*6cm
color card, 775g
,unit:Pcs",5,12,60,7.8,468,37.5,27,40,0.04,10.5,0.20,52.5,6920220314074,,东阳仓
45,2026-03-15,C25- 6083,,GC01-28,,,"2800ml Glass Casserole 31*21.5*7.8cm
1980g",20,12,240,23.2,5568,65,46.5,33,0.10,25.45,1.99,509,6912024138116,,浦江仓
46,2026-03-15,C25- 6083,,CPK-060,,,"Seasoning jar 7pcs/set
:unit:set
jar:10*7cm",5,12,60,24,1440,53.5,36.5,30.5,0.06,17.1,0.30,85.5,6665202102125,,浦江仓
47,2026-03-15,C25- 6083,,BW20-72,,,"3.75''sugar container 6pcs/inner
box;unit:pcs",3,108,324,3.8,1231.2,58,33,26,0.05,18.7,0.15,56.1,6665202056688,,浦江仓
48,2026-03-15,C25- 6083,,SE-030,,,"4.25"" Cake bowl 24pcs/display box, unit:pcs
11*5.4cm,235g",5,72,360,2,720,48,36,36,0.06,18.8,0.31,94,6665202118058,,浦江仓
49,2026-03-15,C25- 6083,,CPK-020,,,"3.5""bowl 24pcs/display box
9.2*5cm 230ml",5,96,480,1.5,720,41,32,47,0.06,17,0.31,85,6665202102613,,浦江仓
